model,family,persona_id,distance_from_self
deepseek-v3,DeepSeek,59,1.9052558883257653
deepseek-v3,DeepSeek,60,7.646567857542363
deepseek-v3,DeepSeek,61,7.82432105680742
deepseek-v3,DeepSeek,62,3.0919249667480613
deepseek-v3,DeepSeek,63,4.616275555033516
deepseek-v3,DeepSeek,64,4.775981574503821
deepseek-v3,DeepSeek,65,3.423448553724738
deepseek-v3,DeepSeek,66,6.563535632568776
deepseek-v3,DeepSeek,67,6.660330322138686
deepseek-v3,DeepSeek,68,2.808914381037628
deepseek-v3,DeepSeek,69,4.730750469005947
deepseek-v3,DeepSeek,70,3.5057096285916205
deepseek-v3,DeepSeek,71,6.90869017976635
deepseek-v3,DeepSeek,72,4.402272140611028
deepseek-v3,DeepSeek,73,4.743416490252569
deepseek-v3,DeepSeek,74,3.935733730830886
deepseek-v3,DeepSeek,75,5.454356057317857
deepseek-v3,DeepSeek,76,7.5504966724050675
deepseek-v3,DeepSeek,77,1.7663521732655696
deepseek-v3,DeepSeek,78,2.6832815729997477
deepseek-v3,DeepSeek,79,4.652956049652737
deepseek-v3,DeepSeek,80,4.394314508543966
deepseek-v3,DeepSeek,81,6.77716754994297
deepseek-v3,DeepSeek,82,5.023942674832188
deepseek-v3,DeepSeek,83,4.246174749112429
deepseek-v3,DeepSeek,84,3.8249182997810554
deepseek-v3,DeepSeek,85,3.6701498607005134
deepseek-v3,DeepSeek,86,8.981647955692763
deepseek-v3,DeepSeek,87,6.168468205316454
deepseek-v3,DeepSeek,88,4.112177038990418
deepseek-v3,DeepSeek,89,3.86910842443062
deepseek-v3,DeepSeek,90,5.037856687123999
deepseek-v3,DeepSeek,91,3.590264614203248
deepseek-v3,DeepSeek,92,2.6981475126464085
deepseek-v3,DeepSeek,93,2.8495613697550017
deepseek-v3,DeepSeek,94,5.872818744010409
deepseek-v3,DeepSeek,95,5.911006682452659
deepseek-v3,DeepSeek,96,2.6851443164195103
deepseek-v3,DeepSeek,97,2.467792535850613
deepseek-v3,DeepSeek,98,3.6510272527057364
deepseek-v3,DeepSeek,99,2.2781571499789037
deepseek-v3.1,DeepSeek,0,3.6097091295560095
deepseek-v3.1,DeepSeek,1,6.212084996198941
deepseek-v3.1,DeepSeek,2,4.619523784980439
deepseek-v3.1,DeepSeek,3,5.08822169328342
deepseek-v3.1,DeepSeek,4,8.893818077743664
deepseek-v3.1,DeepSeek,5,5.663920903402518
deepseek-v3.1,DeepSeek,6,5.135172830587107
deepseek-v3.1,DeepSeek,7,5.020956084253277
deepseek-v3.1,DeepSeek,8,8.1706792863262
deepseek-v3.1,DeepSeek,9,7.014983962918233
deepseek-v3.1,DeepSeek,10,5.042816673249187
deepseek-v3.1,DeepSeek,11,3.6180105030251086
deepseek-v3.1,DeepSeek,12,7.053367989832942
deepseek-v3.1,DeepSeek,13,7.033491309442275
deepseek-v3.1,DeepSeek,14,7.922752047110903
deepseek-v3.1,DeepSeek,15,4.114608122288197
deepseek-v3.1,DeepSeek,16,6.137589103222861
deepseek-v3.1,DeepSeek,17,6.476109943476871
deepseek-v3.1,DeepSeek,18,4.495553358597805
deepseek-v3.1,DeepSeek,19,8.803408430829505
deepseek-v3.1,DeepSeek,20,9.10714005602198
deepseek-v3.1,DeepSeek,21,5.2554733373883655
deepseek-v3.1,DeepSeek,22,6.721606950722423
deepseek-v3.1,DeepSeek,23,4.9668903752750575
deepseek-v3.1,DeepSeek,24,7.655063683601855
deepseek-v3.1,DeepSeek,25,11.459057552870568
deepseek-v3.1,DeepSeek,26,6.859300255857008
deepseek-v3.1,DeepSeek,27,7.370888684548153
deepseek-v3.1,DeepSeek,28,5.791372894228103
deepseek-v3.1,DeepSeek,29,3.8781438859330635
deepseek-v3.1,DeepSeek,30,4.373785545725807
deepseek-v3.1,DeepSeek,31,5.047771785649585
deepseek-v3.1,DeepSeek,32,3.8845849199110063
deepseek-v3.1,DeepSeek,33,6.641535966928132
deepseek-v3.1,DeepSeek,34,5.399073994677236
deepseek-v3.1,DeepSeek,35,8.99944442729661
deepseek-v3.1,DeepSeek,36,5.183628073077774
deepseek-v3.1,DeepSeek,37,6.334824385884742
deepseek-v3.1,DeepSeek,38,5.170106381884226
deepseek-v3.1,DeepSeek,39,6.604543890383348
deepseek-v3.1,DeepSeek,40,4.070626487409523
deepseek-v3.1,DeepSeek,41,7.0604532432415406
deepseek-v3.1,DeepSeek,42,3.5496478698597698
deepseek-v3.1,DeepSeek,43,4.864154602806123
deepseek-v3.1,DeepSeek,44,8.437416666255139
deepseek-v3.1,DeepSeek,45,10.811105401391663
deepseek-v3.1,DeepSeek,46,3.626292872893749
deepseek-v3.1,DeepSeek,47,11.93859288191033
deepseek-v3.1,DeepSeek,48,3.7376463182061515
deepseek-v3.1,DeepSeek,49,5.4845236803208355
deepseek-v3.1,DeepSeek,50,9.701546268507922
deepseek-v3.1,DeepSeek,51,6.539113089708725
deepseek-v3.1,DeepSeek,52,4.180908992073375
deepseek-v3.1,DeepSeek,53,8.91010662113535
deepseek-v3.1,DeepSeek,54,4.03236903073119
deepseek-v3.1,DeepSeek,55,5.579426493825329
deepseek-v3.1,DeepSeek,56,8.15659242576212
deepseek-v3.1,DeepSeek,57,7.349829930005184
deepseek-v3.1,DeepSeek,58,7.002856560004639
deepseek-v3.1,DeepSeek,59,4.956813492557492
deepseek-v3.1,DeepSeek,60,6.64529909033446
deepseek-v3.1,DeepSeek,61,3.9912404086950213
deepseek-v3.1,DeepSeek,62,6.345864795282043
deepseek-v3.1,DeepSeek,63,4.102438299353203
deepseek-v3.1,DeepSeek,64,4.534313619501853
deepseek-v3.1,DeepSeek,65,6.198386886924694
deepseek-v3.1,DeepSeek,66,4.454211490264018
deepseek-v3.1,DeepSeek,67,5.63205113613149
deepseek-v3.1,DeepSeek,68,4.12189276910499
deepseek-v3.1,DeepSeek,69,3.7960505792204615
deepseek-v3.1,DeepSeek,70,5.692099788303083
deepseek-v3.1,DeepSeek,71,3.3763886032268267
deepseek-v3.1,DeepSeek,72,8.923003978481686
deepseek-v3.1,DeepSeek,73,6.8854919940408035
deepseek-v3.1,DeepSeek,74,8.44393273303382
deepseek-v3.1,DeepSeek,75,10.251829105091442
deepseek-v3.1,DeepSeek,76,11.330931117962018
deepseek-v3.1,DeepSeek,77,6.510760324263211
deepseek-v3.1,DeepSeek,78,5.443344560102731
deepseek-v3.1,DeepSeek,79,4.571651780264985
deepseek-v3.1,DeepSeek,80,3.272613634390715
deepseek-v3.1,DeepSeek,81,10.634848376916334
deepseek-v3.1,DeepSeek,82,7.479304780526062
deepseek-v3.1,DeepSeek,83,5.678908345800274
deepseek-v3.1,DeepSeek,84,8.88481851249647
deepseek-v3.1,DeepSeek,85,4.457577817604534
deepseek-v3.1,DeepSeek,86,8.36301381082203
deepseek-v3.1,DeepSeek,87,10.898623766329399
deepseek-v3.1,DeepSeek,88,9.031611151948471
deepseek-v3.1,DeepSeek,89,4.838388161361178
deepseek-v3.1,DeepSeek,90,3.184336665618132
deepseek-v3.1,DeepSeek,91,5.182663407939975
deepseek-v3.1,DeepSeek,92,7.370210309075312
deepseek-v3.1,DeepSeek,93,7.702596964660685
deepseek-v3.1,DeepSeek,94,4.382921400162226
deepseek-v3.1,DeepSeek,95,4.173727350941841
deepseek-v3.1,DeepSeek,96,5.888123640006211
deepseek-v3.1,DeepSeek,97,5.642694391866354
deepseek-v3.1,DeepSeek,98,4.4821869662029945
deepseek-v3.1,DeepSeek,99,6.447480127925948
gemini-2.5-flash,Gemini,0,8.370782520170978
gemini-2.5-flash,Gemini,1,6.740919818541088
gemini-2.5-flash,Gemini,2,7.805767098754613
gemini-2.5-flash,Gemini,3,7.950471684120384
gemini-2.5-flash,Gemini,4,8.484692098125896
gemini-2.5-flash,Gemini,5,13.604778572251737
gemini-2.5-flash,Gemini,6,6.69925368977769
gemini-2.5-flash,Gemini,7,6.809552114493287
gemini-2.5-flash,Gemini,8,8.713208364316786
gemini-2.5-flash,Gemini,9,8.391066678319271
gemini-2.5-flash,Gemini,10,7.002856560004639
gemini-2.5-flash,Gemini,11,5.616938667993447
gemini-2.5-flash,Gemini,12,7.744029958619737
gemini-2.5-flash,Gemini,13,9.052623929005335
gemini-2.5-flash,Gemini,14,10.05186549850325
gemini-2.5-flash,Gemini,15,4.922397789695587
gemini-2.5-flash,Gemini,16,8.161494961096283
